Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR35329996,2026-02-05 14:35:38,2025-09-10 17:34:43,63897395,19297013290,63897395,302,5782,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos10/sra-pub-zq-1002/SRR035/35329/SRR35329996/SRR35329996.lite.1,SRX30430909,GSM9228484,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq X,SRP618841,PRJNA1322439,,1322439,SRS26465295,SAMN51250268,simple,10090,Mus musculus,GSM9228484,,,,,,,no,,,,,"LI SHEN LAB, NEUROSCIENCE, MOUNT SINAI SCHOOL OF MEDICINE",SRA2218978,,public,8282505A62230C98A1C240CEA6D8B1CB,569D9A8DE26E08399D0DB92323BAF161
SRR35329995,2026-02-05 14:35:38,2025-09-10 17:35:06,66742396,20156203592,66742396,302,6036,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos10/sra-pub-zq-1002/SRR035/35329/SRR35329995/SRR35329995.lite.1,SRX30430910,GSM9228485,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq X,SRP618841,PRJNA1322439,,1322439,SRS26465296,SAMN51250267,simple,10090,Mus musculus,GSM9228485,,,,,,,no,,,,,"LI SHEN LAB, NEUROSCIENCE, MOUNT SINAI SCHOOL OF MEDICINE",SRA2218978,,public,89081F1F315DE7CEEDA83776525FB447,4B22AD2DA68C0F2D8CFC0AC1FC4597D9
SRR35329994,2026-02-05 14:35:39,2025-09-10 17:34:20,64574923,19501626746,64574923,302,5845,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos10/sra-pub-zq-1002/SRR035/35329/SRR35329994/SRR35329994.lite.1,SRX30430911,GSM9228486,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq X,SRP618841,PRJNA1322439,,1322439,SRS26465297,SAMN51250266,simple,10090,Mus musculus,GSM9228486,,,,,,,no,,,,,"LI SHEN LAB, NEUROSCIENCE, MOUNT SINAI SCHOOL OF MEDICINE",SRA2218978,,public,8B21EC3D41A85E49B5D04D26EAA1D384,D54AC3D0075BB53A221E8CAF068041FD
SRR35329993,2026-02-05 14:35:39,2025-09-10 17:37:26,83915637,25342522374,83915637,302,7611,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos10/sra-pub-zq-1002/SRR035/35329/SRR35329993/SRR35329993.lite.1,SRX30430912,GSM9228487,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq X,SRP618841,PRJNA1322439,,1322439,SRS26465298,SAMN51250265,simple,10090,Mus musculus,GSM9228487,,,,,,,no,,,,,"LI SHEN LAB, NEUROSCIENCE, MOUNT SINAI SCHOOL OF MEDICINE",SRA2218978,,public,10A2F678A2359B15DDBD4653ACBDF561,78755269FA5D8D486D70C67464A44D4F
SRR35329992,2026-02-05 14:35:39,2025-09-10 17:36:05,77329467,23353499034,77329467,302,6990,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos10/sra-pub-zq-1002/SRR035/35329/SRR35329992/SRR35329992.lite.1,SRX30430913,GSM9228488,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq X,SRP618841,PRJNA1322439,,1322439,SRS26465299,SAMN51250264,simple,10090,Mus musculus,GSM9228488,,,,,,,no,,,,,"LI SHEN LAB, NEUROSCIENCE, MOUNT SINAI SCHOOL OF MEDICINE",SRA2218978,,public,FE1976DEB5F55A7F7A2B3A22F6A5FA57,154ECDD48DB49993165DB73BA2D048D5
SRR35329991,2026-02-05 14:35:38,2025-09-10 17:34:07,65852703,19887516306,65852703,302,5963,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos10/sra-pub-zq-1002/SRR035/35329/SRR35329991/SRR35329991.lite.1,SRX30430914,GSM9228489,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq X,SRP618841,PRJNA1322439,,1322439,SRS26465300,SAMN51250263,simple,10090,Mus musculus,GSM9228489,,,,,,,no,,,,,"LI SHEN LAB, NEUROSCIENCE, MOUNT SINAI SCHOOL OF MEDICINE",SRA2218978,,public,610D65CE7796EF2872EA148862BB026F,4FF0C1F694EEDB6EA162BDC3A5B480B3
SRR35329985,2026-02-05 14:35:38,2025-09-10 17:29:19,56779105,17147289710,56779105,302,5127,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos10/sra-pub-zq-1002/SRR035/35329/SRR35329985/SRR35329985.lite.1,SRX30430920,GSM9228490,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq X,SRP618841,PRJNA1322439,,1322439,SRS26465306,SAMN51250262,simple,10090,Mus musculus,GSM9228490,,,,,,,no,,,,,"LI SHEN LAB, NEUROSCIENCE, MOUNT SINAI SCHOOL OF MEDICINE",SRA2218978,,public,187F6841F83780749C598A808A36BD05,D7C9BADDBD134B02E27CD3759AE55FDE
SRR35329986,2026-02-05 14:35:38,2025-09-10 17:29:28,57019234,17219808668,57019234,302,5150,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos10/sra-pub-zq-1002/SRR035/35329/SRR35329986/SRR35329986.lite.1,SRX30430919,GSM9228491,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq X,SRP618841,PRJNA1322439,,1322439,SRS26465305,SAMN51250261,simple,10090,Mus musculus,GSM9228491,,,,,,,no,,,,,"LI SHEN LAB, NEUROSCIENCE, MOUNT SINAI SCHOOL OF MEDICINE",SRA2218978,,public,954FC88F8CE7FE64A12A4112AFFE4D62,9BE2F25B093B96813915804382E3F359
SRR35329977,2026-02-05 14:35:38,2025-09-10 17:32:56,91559712,27651033024,91559712,302,8284,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos10/sra-pub-zq-1002/SRR035/35329/SRR35329977/SRR35329977.lite.1,SRX30430928,GSM9228492,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq X,SRP618841,PRJNA1322439,,1322439,SRS26465314,SAMN51250260,simple,10090,Mus musculus,GSM9228492,,,,,,,no,,,,,"LI SHEN LAB, NEUROSCIENCE, MOUNT SINAI SCHOOL OF MEDICINE",SRA2218978,,public,B61CFC54EB393A35871C917F37D7684D,383D1F0D172DAC1CFA990B3199718B7B
SRR35329987,2026-02-05 14:35:38,2025-09-10 17:33:27,85210535,25733581570,85210535,302,7695,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos10/sra-pub-zq-1002/SRR035/35329/SRR35329987/SRR35329987.lite.1,SRX30430918,GSM9228493,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq X,SRP618841,PRJNA1322439,,1322439,SRS26465304,SAMN51250259,simple,10090,Mus musculus,GSM9228493,,,,,,,no,,,,,"LI SHEN LAB, NEUROSCIENCE, MOUNT SINAI SCHOOL OF MEDICINE",SRA2218978,,public,62CDE8F80D9902568AA5F88A22BC8D00,6BF66A9FD811DB5D0B16AEDAA1F1EAAF
